Wavl[vac;nm],Elm,Ion,Elow[eV],UnBrCalDep,MeasNormDepth,GaussVelOffset[m/s]
420.2104,Fe,1,3.3966,0.8830,0.7485,62.2
420.5645,Cr,1,3.98,0.3910,0.1519,96.1
420.8085,Cr,1,4.618,0.2350,0.1060,-754.7
421.0366,Cr,1,3.85,0.0440,0.0370,-271.3
421.0786,Fe,1,4.103,0.0250,0.3023,-1408.7
421.1796,Zr,2,1.665,0.0910,0.1058,645.4
421.4837,Fe,1,2.845,0.9010,0.7680,-502.3
421.5057,Zr,1,0.604,0.5550,0.3524,523.6
421.6017,Fe,1,4.076,0.2210,0.1842,433.7
421.7788,Fe,1,4.191,0.2890,0.4681,-751.0
421.9888,V,1,0.301,0.0600,0.6414,1217.8
422.3399,Fe,1,2.4496,0.9440,0.8767,135.8
422.715,Fe,1,3.047,0.8770,0.6908,-493.3
422.9911,Fe,1,3.368,0.5160,0.2891,-713.8
424.2874,Zr,1,0.651,0.2320,0.0416,-213.2
424.4565,Fe,1,3.64,0.7970,0.7174,-355.9
425.7808,Cr,1,3.013,0.0370,0.2162,-1088.0
425.8318,Ce,2,0.459,0.0770,0.0473,-1207.0
426.478,La,2,1.956,0.0410,0.2701,1390.6
426.54,Fe,1,3.368,0.8500,0.6877,643.3
427.5593,Ti,1,2.292,0.1480,0.0632,-879.3
427.7633,Ti,1,1.7336,0.4370,0.2441,-421.1
428.0684,Fe,1,3.883,0.7610,0.6398,-113.2
428.2575,Ti,1,0.813,0.5820,0.3108,-394.3
428.4605,Fe,1,2.609,0.2450,0.1107,-192.6
428.7206,Ti,1,0.826,0.8660,0.7410,827.8
429.0927,Cr,1,0.0,0.9610,0.9136,-140.4
429.5008,Fe,1,2.433,0.4530,0.3794,-307.9
429.6428,Nd,2,0.742,0.0210,0.6997,-1012.9
429.9719,Ni,1,3.841,0.3740,0.2096,-604.2
430.125,Ti,2,1.18,0.9420,0.8164,170.1
430.9372,Mn,2,5.418,0.0280,0.3536,-379.5
431.2193,Gd,2,0.492,0.0210,0.5206,-835.5
431.5293,Sc,2,0.618,0.9220,0.8475,-11.5
431.5723,Nd,2,0.0,0.2820,0.2107,-766.8
431.6824,Cr,1,2.915,0.0780,0.0849,-1444.6
431.8004,Ti,2,2.048,0.7360,0.4761,-61.1
432.0145,Sm,2,0.277,0.2900,0.1348,-152.8
432.1345,Fe,1,4.387,0.0530,0.0886,-812.1
432.2165,Ti,2,1.165,0.8550,0.6763,-355.0
432.3716,La,2,0.173,0.2440,0.1383,-244.2
433.4969,La,2,0.173,0.7210,0.3904,206.3
433.7119,Fe,1,3.884,0.0210,0.0834,670.1
433.7459,Ce,2,0.704,0.0780,0.0498,1007.0
433.7819,Fe,1,3.884,0.0750,0.0322,992.9
434.093,Cr,1,0.961,0.8750,0.6321,-0.0
434.3031,Fe,1,3.547,0.1890,0.1694,143.0
434.6111,Fe,1,4.154,0.7730,0.3368,-748.1
435.0993,Ce,2,0.529,0.1230,0.0797,455.9
435.1193,V,2,2.036,0.0530,0.0355,-127.5
435.1363,Fe,1,4.283,0.3940,0.1789,448.0
435.7835,Mn,1,4.713,0.0280,0.3791,-1217.8
436.2876,Ce,2,0.529,0.1160,0.0436,195.2
437.0638,Fe,2,2.778,0.6710,0.4121,-759.7
437.877,Cr,1,2.915,0.2460,0.1411,-370.8
438.1961,Fe,1,4.178,0.3680,0.5355,-864.8
438.3401,Ce,2,0.684,0.3580,0.1118,-635.6
438.6202,Cr,1,1.03,0.8860,0.6263,171.3
438.7092,Ti,1,2.427,0.1300,0.1642,-737.9
439.2544,Fe,1,4.559,0.0930,0.0611,-1475.6
439.8475,Cr,1,3.011,0.3270,0.2342,852.3
439.9856,Ni,1,3.543,0.2940,0.1987,-1251.6
440.0826,Ni,1,3.847,0.4620,0.3310,694.8
440.4417,Fe,1,4.549,0.2150,0.4993,-778.1
441.1269,Ru,1,1.139,0.0230,0.2632,-1064.8
446.6843,Nd,2,0.182,0.1130,0.0313,171.9
446.7413,Cr,1,3.013,0.0910,0.0775,-369.2
446.7634,Ni,1,3.706,0.4410,0.3069,276.1
447.3305,Ca,2,6.468,0.1460,0.0276,-67.3
447.9567,Co,1,3.105,0.1740,0.1401,456.3
448.2087,Fe,1,2.9756,0.6080,0.3383,-1091.4
449.1,Fe,1,0.1213,0.9310,0.7870,-239.2
449.266,Fe,2,2.856,0.8050,0.6288,-150.6
449.311,Cr,1,2.987,0.2260,0.1194,-706.3
449.394,Fe,1,3.9841,0.6270,0.3859,-450.2
449.9552,Gd,2,0.427,0.0350,0.0618,-1228.9
450.0402,Fe,1,4.549,0.3290,0.4561,-754.9
450.2533,Ti,2,1.116,0.9200,0.8383,-183.6
450.3223,V,1,1.376,0.1090,0.0579,1053.8
450.3473,Mn,1,2.92,0.7930,0.5575,-138.4
450.3853,Fe,1,3.573,0.4980,0.3115,-339.7
450.5473,Fe,1,3.96,0.0790,0.0316,545.4
450.6094,Fe,1,3.266,0.6840,0.4418,-449.8
450.6304,Sm,2,0.248,0.0320,0.0226,-1057.2
450.6754,Ti,1,3.111,0.2240,0.0166,-797.3
450.7344,Cr,1,3.888,0.0730,0.0398,1487.5
450.7844,Nd,2,0.064,0.1590,0.1041,989.6
450.9955,Fe,1,4.283,0.2880,0.1614,-632.0
451.0995,Fe,1,4.22,0.6890,0.4163,-242.2
451.1415,Pr,2,0.422,0.0820,0.0289,129.7
451.4256,Ni,1,3.706,0.3910,0.2126,-399.0
451.7117,Ce,2,1.058,0.0760,0.0603,749.9
451.9287,Ti,1,0.826,0.8430,0.6547,-93.4
452.0537,Co,1,3.713,0.0700,0.0217,1040.3
452.1248,Ni,1,1.6764,0.6850,0.3780,-1.3
452.5479,V,1,1.893,0.1760,0.0741,-7.4
453.174,Cr,1,2.967,0.0760,0.0643,89.7
453.3761,Ce,2,1.694,0.0340,0.0202,394.4
453.4021,Cr,1,3.422,0.0540,0.0521,-30.3
453.4971,Cr,1,3.122,0.0330,0.0646,-510.9
453.6582,Fe,1,4.301,0.1850,0.1391,161.4
454.4494,Fe,1,3.64,0.0770,0.0585,-669.4
454.7745,Fe,1,4.186,0.1440,0.0824,-365.1
454.7955,Fe,1,3.96,0.2140,0.1087,-76.9
454.9385,Ti,1,2.495,0.1260,0.0584,-822.4
454.9705,Fe,1,4.313,0.1010,0.0312,-189.7
455.1086,Ti,2,1.18,0.7470,0.5320,-349.0
455.2926,Fe,1,3.943,0.4510,0.2829,-589.0
455.3426,Fe,1,4.371,0.3900,0.2171,-725.8
455.4436,Ni,1,3.6577,0.2930,0.1540,75.2
455.6097,Cr,1,3.113,0.1810,0.0991,-386.5
455.6567,Cr,1,3.435,0.1140,0.0463,-181.8
