#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-06T05:36:03 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e8abf0a9c6a	
#INFO	-out.max=99999	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=99999
#-nav=cat:J/A+A/530/A138&tab:{J/A+A/530/A138/catalog}&key:source=J/A+A/530/A138&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/530/A138/catalog
#-order=I
#-out=HIP
#-out=Name
#H09=H09
#-out=logg
#-out=Teff
#-out=e_Teff
#-out=[Fe/H]
#-out=RAJ2000
#-out=DEJ2000
#
#RESOURCE=yCat_35300138
#Name: J/A+A/530/A138
#Title: Geneva-Copenhagen survey re-analysis (Casagrande+, 2011)
#Table	J_A_A_530_A138_catalog:
#Name: J/A+A/530/A138/catalog
#Title: *Stellar parameters
#Column	HIP	(I6)	? Hipparcos number (2) [NULL integer written as an empty string]	[ucd=meta.id;meta.main]
#Column	Name	(a12)	Other name (3)	[ucd=meta.id]
#Column	logg	(F5.2)	? Surface gravity (5)	[ucd=phys.gravity]
#Column	Teff	(F5)	? Effective temperature (6)	[ucd=phys.temperature.effective]
#Column	e_Teff	(F5)	? Teff error (7)	[ucd=stat.error;phys.temperature.effective]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#HIP;Name;logg;Teff;e_Teff;[Fe/H];RAJ2000;DEJ2000
# ; ;[cm/s2];K;K;[Sun];"h:m:s";"d:m:s"
# Note: Values for Sun from Prsa et al. 2016, IAU defined values.
#------;------------;-----;-----;-----;-----;----------;---------
   420;HD 23       ; 4.44; 6203;   81;-0.07;00 05 07.4;-52 09 06
   459;HD 67       ; 4.58; 5746;   67;-0.09;00 05 28.4;-61 13 33
   493;HD 101      ; 4.41; 5957;   77;-0.24;00 05 54.7;+18 14 06
   490;HD 105      ; 4.43; 6035;   62;-0.18;00 05 52.5;-41 45 11
   530;HD 153      ; 3.91; 5869;   85; 0.08;00 06 26.0;+42 45 09
   529;HD 156      ; 3.70; 6730;   94; 0.25;00 06 24.9;-18 02 17
   547;HD 189      ; 3.79; 6374;   65; 0.13;00 06 39.5;-24 37 15
   556;HD 200      ; 3.87; 5998;   88;-0.21;00 06 46.9;-04 21 00
   560;HD 203      ; 4.27; 6883;   91;-0.09;00 06 50.0;-23 06 27
   606;HD 268      ; 4.24; 6486;   74;-0.24;00 07 22.5;-25 21 23
   596;HD 276      ; 4.11; 6611;  135;-0.17;00 07 13.4;-76 43 51
   612;HD 285      ; 3.63; 6445;   84;-0.06;00 07 28.1;-56 00 41
   630;HD 291      ; 4.05; 6538;  113;-0.05;00 07 40.4;+39 02 05
   624;HD 307      ; 3.87; 6112;   75; 0.19;00 07 37.4;-45 07 10
   656;HD 330      ; 3.80; 5790;  105;-0.11;00 08 04.6;+53 47 46
   650;HD 333      ; 3.46; 6787;   91; 0.03;00 08 00.7;+29 50 15
   649;HD 334      ; 4.09; 6377;   91;-0.06;00 08 00.2;-07 32 40
   691;HD 373      ; 4.31; 6937;   92;-0.36;00 08 30.1;+52 20 11
   688;HD 392      ; 3.77; 6380;   92; 0.15;00 08 27.6;-24 05 37
   706;HD 427      ; 3.64; 6390;   99; 0.04;00 08 46.1;-34 47 39
   709;HD 439      ; 3.82; 6620;   81; 0.21;00 08 48.4;-47 03 38
   740;HD 447      ; 3.74; 6419;  155; 0.13;00 09 04.3;+19 55 28
   726;HD 457      ; 4.23; 6144;   70; 0.31;00 08 59.6;-39 44 13
   732;HD 466      ; 3.85; 6825;  101; 0.03;00 09 02.6;-35 05 30
   791;HD 547      ; 4.23; 5969;   67;-0.08;00 09 48.5;-40 53 34
   801;HD 564      ; 4.46; 6020;   64;-0.29;00 09 52.8;-50 16 04
   815;HD 578      ; 4.06; 6530;   98;-0.05;00 10 02.5;-63 17 48
   851;HD 604      ; 3.76; 6230;  112;-0.01;00 10 26.3;-14 27 08
   819;HD 610      ; 4.12; 6528;  107;-0.02;00 10 04.4;-79 00 06
   856;HD 615      ; 4.34; 6448;   73; 0.03;00 10 29.5;+15 13 54
   867;HD 631      ; 4.40; 6076;   81;-0.05;00 10 39.1;+12 49 12
   870;HD 633      ; 4.30; 6401;   93;-0.02;00 10 40.7;+02 03 19
   920;HD 700      ; 4.45; 6174;   77;-0.19;00 11 24.4;+23 49 05
   937;HD 732      ; 3.90; 6346;   84; 0.38;00 11 36.4;-23 37 56
   929;HD 741      ; 4.35; 5876;   74;-0.12;00 11 33.0;-58 54 35
   934;HD 750      ; 4.58; 5073;   92;-0.29;00 11 35.7;-57 28 21
   964;HD 768      ; 4.34; 6959;  106;-0.16;00 11 54.7;-22 49 03
   996;HD 804      ; 4.38; 5937;   72; 0.07;00 12 28.3;+20 14 03
  1003;HD 823      ; 4.48; 5551;   71; 0.04;00 12 32.8;-30 51 35
  1038;HD 852      ; 4.02; 6768;   83; 0.01;00 13 00.0;+12 19 51
  1031;HD 870      ; 4.57; 5383;   83;-0.16;00 12 50.2;-57 54 45
  1071;HD 900      ; 4.30; 6935;  111;-0.12;00 13 17.6;-23 43 57
  1058;HD 903      ; 4.29; 6627;   74;-0.03;00 13 10.0;-43 03 54
  1105;HD 912      ; 3.92; 6082;   66;-0.15;00 13 46.5;+64 51 53
  1085;HD 924      ; 4.63; 5055;   49;-0.09;00 13 30.9;-40 21 29
  1103;HD 931      ; 4.26; 6694;   76; 0.00;00 13 45.7;+08 11 36
  1125;HD 949      ; 3.94; 6992;  165;-0.18;00 14 02.8;+44 30 43
  1128;HD 967      ; 4.48; 5662;   83;-0.67;00 14 04.4;-11 18 41
  1137;HD 975      ; 4.28; 6425;   97;-0.15;00 14 13.0;+35 25 05
  1134;HD 984      ; 4.34; 6315;   89;-0.08;00 14 10.2;-07 11 56
  1147;HD 1000     ; 4.07; 6321;   66;-0.04;00 14 20.8;-21 11 49
  1140;HD 1004     ; 4.21; 6528;   76;-0.08;00 14 14.7;-55 04 10
  1161;HD 1015     ; 3.92; 6444;   83; 0.15;00 14 28.0;-14 25 54
  1151;HD 1019     ; 4.09; 5344;   81; 0.08;00 14 22.2;-28 56 04
  1188;HD 1047     ; 3.94; 6183;  177;-0.02;00 14 49.9;+23 47 36
  1211;HD 1073     ; 4.21; 6882;   87;-0.07;00 15 09.1;+34 52 05
  1234;HD 1094     ; 3.90; 6513;   95; 0.05;00 15 21.5;+28 35 13
  1231;HD 1101     ; 3.85; 6742;  100; 0.10;00 15 16.3;-16 45 22
  1206;HD 1108     ; 4.54; 5605;   76;-0.08;00 15 04.6;-68 31 48
  1255;HD 1121     ; 4.06; 7026;  110;-0.20;00 15 44.9;+45 32 37
  1258;HD 1184     ; 4.23; 6136;   78;-0.23;00 15 47.0;-66 55 26
  1304;HD 1204     ; 4.34; 6049;   90; 0.00;00 16 22.2;-19 23 58
  1320;HD 1213     ; 4.19; 6784;   97;-0.28;00 16 34.7;+15 50 13
  1341;HD 1271     ; 3.90; 6570;   97; 0.03;00 16 47.2;-46 34 26
  1382;HD 1320     ; 4.54; 5795;   66;-0.34;00 17 16.5;-43 51 09
  1376;HD 1321     ; 3.41; 6510;   95; 0.08;00 17 12.1;-44 21 51
  1402;HD 1343     ; 4.14; 6733;   99;-0.28;00 17 32.7;-19 03 03
  1427;HD 1352     ; 4.37; 6432;   72;-0.14;00 17 49.9;+16 19 51
  1404;HD 1391     ; 4.01; 5953;   78; 0.07;00 17 34.5;-69 52 42
  1455;HD 1393     ; 4.25; 7186;  138;-0.24;00 18 07.8;+03 47 48
  1480;HD 1418     ; 3.78; 6507;  110; 0.12;00 18 24.9;+22 52 48
  1425;HD 1455     ; 3.70; 6245;   85; 0.37;00 17 49.2;-79 13 56
  1541;HD 1497     ; 4.25; 6023;   67; 0.16;00 19 12.7;+13 34 37
  1545;HD 1513     ; 4.26; 6925;  113;-0.08;00 19 16.6;+00 31 14
  1576;HD 1557     ; 3.47; 6441;  149;-0.15;00 19 41.6;-30 39 30
  1582;HD 1591     ; 4.27; 6215;   68;-0.15;00 19 48.9;-60 54 43
  1634;HD 1603     ; 3.91; 6340;   77; 0.17;00 20 28.4;+40 55 19
  1613;HD 1622     ; 4.55; 5262;   68; 0.09;00 20 11.0;-55 59 38
  1668;HD 1674     ; 4.26; 6241;   82;-0.01;00 20 53.9;-29 41 23
  1667;HD 1683     ; 3.69; 6191;   67; 0.09;00 20 53.7;-39 14 23
  1623;HD 1686     ; 4.45; 6157;   60;-0.17;00 20 16.9;-77 13 21
  1691;HD 1689     ; 3.93; 6246;   86;-0.11;00 21 13.1;-03 18 42
  1704;HD 1699     ; 4.34; 6607;   90;-0.23;00 21 25.6;+28 19 34
  1736;HD 1764     ; 4.20; 6284;   82;-0.27;00 21 57.3;+16 52 36
  1762;HD 1778     ; 3.43; 6664;   90; 0.28;00 22 19.6;+53 36 03
  1787;HD 1828     ; 4.33; 6601;  105;-0.15;00 22 43.1;-09 37 22
  1813;HD 1832     ; 4.33; 5805;   55;-0.01;00 23 00.2;+22 22 30
  1795;HD 1856     ; 4.01; 7000;   93; 0.01;00 22 48.0;-39 15 44
  1779;HD 1893     ; 4.54; 5538;   83; 0.13;00 22 34.7;-73 01 56
  1831;HD 1898     ; 3.70; 6462;  111; 0.03;00 23 12.6;-13 10 05
  1892;HD 1917     ; 4.01; 6486;  101;-0.28;00 23 53.1;+60 57 41
  1869;HD 1935     ; 3.20; 6945;  118;-0.19;00 23 38.5;+02 44 34
  1905;HD 1952     ; 3.41; 6698;   90; 0.12;00 24 05.2;+44 15 53
  1899;HD 1980     ; 4.15; 6333;   82;-0.10;00 23 59.5;-17 48 37
  1949;HD 2021     ; 3.63; 6403;   81; 0.05;00 24 38.3;+16 24 28
  1912;HD 2029     ; 3.96; 6717;   98;-0.16;00 24 11.9;-54 33 59
  1964;HD 2065     ; 3.55; 6640;  106;-0.01;00 24 50.0;-11 42 39
  1973;HD 2121     ; 4.06; 6642;  116;-0.01;00 24 57.9;-62 12 22
  2135;HD 2302     ; 3.85; 6517;  113; 0.15;00 27 04.5;+25 02 31
  2121;HD 2305     ; 4.34; 6611;   82;-0.11;00 26 53.1;-00 55 46
  2174;HD 2330     ; 4.22; 6105;   72; 0.21;00 27 26.6;+26 16 43
  2167;HD 2361     ; 3.94; 6621;   77;-0.13;00 27 20.6;-08 39 30
  2177;HD 2381     ; 4.33; 6899;  106;-0.11;00 27 30.0;-31 49 41
  2194;HD 2404     ; 4.45; 5279;   51;-0.41;00 27 43.5;-32 23 14
