#lambda(Å,vac) | wavenumber (cm^-1) | species | lower energy - upper energy | lower orbital configuration | lower J | upper orbital configuration | upper J | normalized depth | blendedness

4205.650 | 23777.537 | Cr I  | 32097.298 - 55874.838 | 3d4.4s2 a 1I                        | 6    | 3d4.(1I).4s.4p.(3P*) u 3H*          | 5    | 0.152 | 1 
4210.786 | 23748.535 | Fe I  | 33095.941 - 56844.475 | 3d7.(4F).4p y5D*                    | 4    | 3d6.4s.(6D).5d s.(6D).5d 7P         | 4    | 0.302 | 5 

4205.650 | 23777.537 | Cr I  | 32097.298 - 55874.838 | 3d4.4s2 a 1I                        | 6    | 3d4.(1I).4s.4p.(3P*) u 3H*          | 5    | 0.152 | 1 
4215.052 | 23724.500 | Zr I  |  4870.530 - 28595.030 | 4d3.(b4F).5s a 5F                   | 1    | 4d3.(b4F).5p y 5F*                  | 2    | 0.352 | 5 

4205.650 | 23777.537 | Cr I  | 32097.298 - 55874.838 | 3d4.4s2 a 1I                        | 6    | 3d4.(1I).4s.4p.(3P*) u 3H*          | 5    | 0.152 | 1 
4216.017 | 23719.069 | Fe I  | 32873.632 - 56592.703 | 3d8 c 3F                            | 4    | 3d6.4s.(6D).6p u 3F*                | 4    | 0.184 | 3 

4210.786 | 23748.535 | Fe I  | 33095.941 - 56844.475 | 3d7.(4F).4p y5D*                    | 4    | 3d6.4s.(6D).5d s.(6D).5d 7P         | 4    | 0.302 | 5 
4215.052 | 23724.500 | Zr I  |  4870.530 - 28595.030 | 4d3.(b4F).5s a 5F                   | 1    | 4d3.(b4F).5p y 5F*                  | 2    | 0.352 | 5 

4210.786 | 23748.535 | Fe I  | 33095.941 - 56844.475 | 3d7.(4F).4p y5D*                    | 4    | 3d6.4s.(6D).5d s.(6D).5d 7P         | 4    | 0.302 | 5 
4216.017 | 23719.069 | Fe I  | 32873.632 - 56592.703 | 3d8 c 3F                            | 4    | 3d6.4s.(6D).6p u 3F*                | 4    | 0.184 | 3 

4210.786 | 23748.535 | Fe I  | 33095.941 - 56844.475 | 3d7.(4F).4p y5D*                    | 4    | 3d6.4s.(6D).5d s.(6D).5d 7P         | 4    | 0.302 | 5 
4217.791 | 23709.093 | Fe I  | 33801.572 - 57510.666 | 3d7.(4F).4p y (5D*)                 | 2    | 3d7.(4F).6s (4F).6s.(5F)            | 3    | 0.468 | 2 

4214.834 | 23725.727 | Fe I  | 22946.816 - 46672.540 | 3d7.(4P).4s b 3P                    | 1    | 3d6.(3P2).4s.4p.(3P*) y 3P*         | 0    | 0.768 | 3 
4219.893 | 23697.283 | V I   |  2424.809 - 26122.094 | 3d4.(5D).4s a 6D                    | 9/2  | 3d4.(5D).4p y 4F*                   | 7/2  | 0.641 | 0 

4214.834 | 23725.727 | Fe I  | 22946.816 - 46672.540 | 3d7.(4P).4s b 3P                    | 1    | 3d6.(3P2).4s.4p.(3P*) y 3P*         | 0    | 0.768 | 3 
4223.402 | 23677.595 | Fe I  | 19757.032 - 43434.627 | 3d6.(5D).4s.4p.(3P*) z 7D*          | 3    | 3d6.(5D).4s (6D).5s e 7D            | 3    | 0.877 | 3 

4215.052 | 23724.500 | Zr I  |  4870.530 - 28595.030 | 4d3.(b4F).5s a 5F                   | 1    | 4d3.(b4F).5p y 5F*                  | 2    | 0.352 | 5 
4216.017 | 23719.069 | Fe I  | 32873.632 - 56592.703 | 3d8 c 3F                            | 4    | 3d6.4s.(6D).6p u 3F*                | 4    | 0.184 | 3 

4215.052 | 23724.500 | Zr I  |  4870.530 - 28595.030 | 4d3.(b4F).5s a 5F                   | 1    | 4d3.(b4F).5p y 5F*                  | 2    | 0.352 | 5 
4217.791 | 23709.093 | Fe I  | 33801.572 - 57510.666 | 3d7.(4F).4p y (5D*)                 | 2    | 3d7.(4F).6s (4F).6s.(5F)            | 3    | 0.468 | 2 

4217.791 | 23709.093 | Fe I  | 33801.572 - 57510.666 | 3d7.(4F).4p y (5D*)                 | 2    | 3d7.(4F).6s (4F).6s.(5F)            | 3    | 0.468 | 2 
4219.893 | 23697.283 | V I   |  2424.809 - 26122.094 | 3d4.(5D).4s a 6D                    | 9/2  | 3d4.(5D).4p y 4F*                   | 7/2  | 0.641 | 0 

4219.893 | 23697.283 | V I   |  2424.809 - 26122.094 | 3d4.(5D).4s a 6D                    | 9/2  | 3d4.(5D).4p y 4F*                   | 7/2  | 0.641 | 0 
4227.146 | 23656.623 | Fe I  | 24574.655 - 48231.280 | 3d7.(2G).4s a 1G                    | 4    | 3d6.(3G).4s.4p.(3P*) y 5H*          | 5    | 0.691 | 4 

4223.402 | 23677.595 | Fe I  | 19757.032 - 43434.627 | 3d6.(5D).4s.4p.(3P*) z 7D*          | 3    | 3d6.(5D).4s (6D).5s e 7D            | 3    | 0.877 | 3 
4227.146 | 23656.623 | Fe I  | 24574.655 - 48231.280 | 3d7.(2G).4s a 1G                    | 4    | 3d6.(3G).4s.4p.(3P*) y 5H*          | 5    | 0.691 | 4 

4257.811 | 23486.247 | Cr I  | 24299.842 - 47786.096 | 3d5.(4D).4s b 5D                    | 2    | 3d5.(4P).4p v 5D*                   | 2    | 0.216 | 2 
4264.790 | 23447.813 | La II | 15773.770 - 39221.650 | 4f.(2F*[7/2]).6s[1/2] (7/2,1/2)*    | 3    | 4f.(2F*[7/2]).6p[3/2] (7/2,3/2)     | 4    | 0.270 | 4 

4277.630 | 23377.431 | Ti I  | 13981.773 - 37359.203 | 3d3.(4P).4s a 5P                    | 1    | 3d3.(4P).4p y 5S*                   | 2    | 0.244 | 3 
4282.569 | 23350.470 | Ti I  |  6556.833 - 29907.286 | 3d3.(4F).4s a 5F                    | 1    | 3d3.(4F).4p x 5D*                   | 2    | 0.311 | 1 

4280.692 | 23360.709 | Fe I  | 31322.613 - 54683.322 | 3d6.(5D).4s.4p.(3P*) z 3D*          | 3    | 3d7.(4F).4d f 3F                    | 4    | 0.640 | 3 
4287.210 | 23325.193 | Ti I  |  6661.006 - 29986.199 | 3d3.(4F).4s a 5F                    | 3    | 3d3.(4F).4p x 5D*                   | 3    | 0.741 | 5 

4295.006 | 23282.855 | Fe I  | 19621.006 - 42903.861 | 3d6.4s2 a 3H                        | 5    | 3d6.(3H).4s.4p.(3P*) z 5I*          | 6    | 0.379 | 4 
4299.716 | 23257.350 | Ni I  | 30979.749 - 54237.099 | 3d8.(3F).4s.4p.(3P) 3G4             | 4    | 3d8.4s.(2F).5s 3F4                  | 4    | 0.210 | 5 

4299.716 | 23257.350 | Ni I  | 30979.749 - 54237.099 | 3d8.(3F).4s.4p.(3P) 3G4             | 4    | 3d8.4s.(2F).5s 3F4                  | 4    | 0.210 | 5 
4309.365 | 23205.275 | Mn II | 43696.217 - 66901.494 | 3d5.(4F).4s a 5F                    | 3    | 3d5.(4G).4p z 5F*                   | 2    | 0.354 | 5 

