#lambda(nm,vac) | wavenumber (cm^-1) | species | lower energy - upper energy | lower orbital configuration | lower J | upper orbital configuration | upper J | normalized depth | blendedness
420.5650 | 23777.540 | Cr I  | 32097.298 - 55874.838 | 3d4.4s2 a 1I                        | 6    | 3d4.(1I).4s.4p.(3P*) u 3H*          | 5    | 0.152 | 1
421.0786 | 23748.535 | Fe I  | 33095.941 - 56844.475 | 3d7.(4F).4p y5D*                    | 4    | 3d6.4s.(6D).5d s.(6D).5d 7P         | 4    | 0.302 | 5
421.4834 | 23725.727 | Fe I  | 22946.816 - 46672.540 | 3d7.(4P).4s b 3P                    | 1    | 3d6.(3P2).4s.4p.(3P*) y 3P*         | 0    | 0.768 | 3
421.5052 | 23724.500 | Zr I  |  4870.530 - 28595.030 | 4d3.(b4F).5s a 5F                   | 1    | 4d3.(b4F).5p y 5F*                  | 2    | 0.352 | 5
421.6017 | 23719.069 | Fe I  | 32873.632 - 56592.703 | 3d8 c 3F                            | 4    | 3d6.4s.(6D).6p u 3F*                | 4    | 0.184 | 3
421.7791 | 23709.093 | Fe I  | 33801.572 - 57510.666 | 3d7.(4F).4p y (5D*)                 | 2    | 3d7.(4F).6s (4F).6s.(5F)            | 3    | 0.468 | 2
421.9893 | 23697.283 | V I   |  2424.809 - 26122.094 | 3d4.(5D).4s a 6D                    | 9/2  | 3d4.(5D).4p y 4F*                   | 7/2  | 0.641 | 0
422.3402 | 23677.595 | Fe I  | 19757.032 - 43434.627 | 3d6.(5D).4s.4p.(3P*) z 7D*          | 3    | 3d6.(5D).4s (6D).5s e 7D            | 3    | 0.877 | 3
422.7146 | 23656.625 | Fe I  | 24574.655 - 48231.280 | 3d7.(2G).4s a 1G                    | 4    | 3d6.(3G).4s.4p.(3P*) y 5H*          | 5    | 0.691 | 4
425.7811 | 23486.249 | Cr I  | 24299.842 - 47786.096 | 3d5.(4D).4s b 5D                    | 2    | 3d5.(4P).4p v 5D*                   | 2    | 0.216 | 2
426.4790 | 23447.813 | La II | 15773.770 - 39221.650 | 4f.(2F*[7/2]).6s[1/2] (7/2,1/2)*    | 3    | 4f.(2F*[7/2]).6p[3/2] (7/2,3/2)     | 4    | 0.270 | 4
427.7630 | 23377.431 | Ti I  | 13981.773 - 37359.203 | 3d3.(4P).4s a 5P                    | 1    | 3d3.(4P).4p y 5S*                   | 2    | 0.244 | 3
428.0692 | 23360.709 | Fe I  | 31322.613 - 54683.322 | 3d6.(5D).4s.4p.(3P*) z 3D*          | 3    | 3d7.(4F).4d f 3F                    | 4    | 0.640 | 3
428.2569 | 23350.470 | Ti I  |  6556.833 - 29907.286 | 3d3.(4F).4s a 5F                    | 1    | 3d3.(4F).4p x 5D*                   | 2    | 0.311 | 1
428.7210 | 23325.193 | Ti I  |  6661.006 - 29986.199 | 3d3.(4F).4s a 5F                    | 3    | 3d3.(4F).4p x 5D*                   | 3    | 0.741 | 5
429.5006 | 23282.855 | Fe I  | 19621.006 - 42903.861 | 3d6.4s2 a 3H                        | 5    | 3d6.(3H).4s.4p.(3P*) z 5I*          | 6    | 0.379 | 4
429.9716 | 23257.350 | Ni I  | 30979.749 - 54237.099 | 3d8.(3F).4s.4p.(3P) 3G4             | 4    | 3d8.4s.(2F).5s 3F4                  | 4    | 0.210 | 5
430.9365 | 23205.276 | Mn II | 43696.217 - 66901.494 | 3d5.(4F).4s a 5F                    | 3    | 3d5.(4G).4p z 5F*                   | 2    | 0.354 | 5
431.2193 | 23190.057 | Gd II |  3972.167 - 27162.224 | 4f.(8S*).5d (9D*).6s 8D*            | 9/2  | 4f7.(8S*).5d (9D*).6p 10F           | 9/2  | 0.521 | 5
431.5295 | 23173.387 | Sc II |  4987.790 - 28161.170 | 3p6.3d2 3F                          | 4    | 3p6.3d.4p 3D*                       | 3    | 0.848 | 4
431.5724 | 23171.083 | Nd II |     0.000 - 23171.110 | 4f4.(5I).6s 6I                      | 7/2  | 4f3.5d.6s *                         | 9/2  | 0.211 | 3
431.8008 | 23158.826 | Ti II | 16515.936 - 39674.762 | 3d2.(3P).4s b 2P                    | 1/2  | 3d2.(1D).4p z 2P*                   | 1/2  | 0.476 | 3
432.2165 | 23136.550 | Ti II |  9395.802 - 32532.354 | 3d3 a 4P                            | 3/2  | 3d2.(3F).4p z 4D*                   | 1/2  | 0.676 | 3
433.4960 | 23068.264 | La II |  1394.460 - 24462.660 | 5d2                                 | 2    | 5d.6p y 1D*                         | 2    | 0.390 | 4
434.3034 | 23025.378 | Fe I  | 28604.613 - 51630.001 | 3d7.(2D2).4s a 1D                   | 2    | 3d6.(5D).4s (6D).5p t 5D*           | 2    | 0.169 | 5
434.6111 | 23009.076 | Fe I  | 33507.123 - 56516.218 | 3d7.(4F).4p y 5D*                   | 3    | 3d7.(4F).6s 5F                      | 4    | 0.337 | 2
435.1364 | 22981.300 | Fe I  | 34547.211 - 57528.512 | 367.(4F).4p y(5F*)                  | 2    | (4F).6s 5F                          | 2    | 0.179 | 5
437.0628 | 22880.007 | Fe II | 22409.818 - 45289.825 | 3d6.(3P2).4s b 4P                   | 1/2  | 3d6.(5D).4p z 4F*                   | 3/2  | 0.412 | 4
438.1963 | 22820.823 | Fe I  | 33695.397 - 56516.218 | 3d7.(4F).4p y(5F*)                  | 5    | 3d7.(4F).6s 4F.6s.(5F)              | 4    | 0.535 | 5
438.6207 | 22798.741 | Cr I  |  8307.575 - 31106.317 | 3d4.4s2 a 5D                        | 4    | 3d4.(5D).4s.4p.(3P*) z 5F*          | 4    | 0.626 | 4
438.7097 | 22794.116 | Ti I  | 19573.974 - 42368.093 | 3d2.(3F).4s.4p.(3P*) z 3F*          | 4    | 3d2.4s.(4F).4d 3H                   | 5    | 0.164 | 4
439.8472 | 22735.169 | Cr I  | 24286.542 - 47021.711 | 3d5.(4D).4s b 5D                    | 1    | 3d5.(4P).4p u 5P*                   | 1    | 0.234 | 5
439.9855 | 22728.022 | Ni I  | 28578.018 - 51306.038 | 3d8.(3F).4s.4p.(3P) 5G3             | 3    | 3d8.4s.(4F).5s 3F3                  | 3    | 0.199 | 5
440.0835 | 22722.961 | Ni I  | 31031.020 - 53753.982 | 3d9.(2D).4p 1F3                     | 3    | 3d9.(2D[3/2]).6s [3/2]2             | 2    | 0.331 | 5
440.4412 | 22704.506 | Fe I  | 36686.176 - 59390.684 | 3d7.(4F).4p y 3F*                   | 4    | (4F).5d 5D                          | 3    | 0.499 | 5
441.1270 | 22669.209 | Ru I  |  9183.660 - 31852.900 | 4d7.(a 4F).5s a 3F                  | 2    | 4d7.(a 4F).5p z 3G*                 | 3    | 0.263 | 5
449.0998 | 22266.764 | Fe I  |   978.074 - 23244.838 | 3d6.4s2 a 5D                        | 0    | 3d6.(5D).4s.4p.(3P*) z 7F*          | 1    | 0.787 | 1
449.2660 | 22258.528 | Fe II | 23031.283 - 45289.825 | 3d6.(3F2).4s b 4F                   | 3/2  | 3d6.(5D).4p z 4F*                   | 3/2  | 0.629 | 2
449.3938 | 22252.196 | Fe I  | 32133.991 - 54386.186 | 3d6.(5D).4s.4p.(3P*) z 3F*          | 2    | 3d7.(4F).4d g 5F                    | 1    | 0.386 | 3
450.0398 | 22220.257 | Fe I  | 36686.176 - 58906.436 | 3d7.(4F).4p y 3F*                   | 4    | 4s.(4D).4d 3G                       | 4    | 0.456 | 2
450.2533 | 22209.723 | Ti II |  8997.787 - 31207.511 | 3d3 a 2G                            | 7/2  | 3d2.(3F).4p z 2F*                   | 5/2  | 0.838 | 3
450.3480 | 22205.050 | Mn I  | 23549.200 - 45754.270 | 3d6.(5D).4s a 4D                    | 5/2  | 3d6.(5D).4p z 4D*                   | 7/2  | 0.557 | 1
450.3854 | 22203.208 | Fe I  | 28819.954 - 51023.162 | 3d7.(2H).4s a 1H                    | 5    | 3d6.(3G).4s.4p.(3P*) x 3H*          | 6    | 0.311 | 3
450.6094 | 22192.170 | Fe I  | 26339.696 - 48531.865 | 3d6.(5D).4s.4p.(3P*) z 5D*          | 2    | 3d7.(4F).5s e 3F                    | 3    | 0.442 | 4
450.9949 | 22173.200 | Fe I  | 34547.211 - 56720.409 | 3d7.(4F).4p y 5F*                   | 2    | 3d6.4s.(6D).5d s.(6D).5d.(5S)       | 2    | 0.161 | 1
451.0999 | 22168.040 | Fe I  | 34039.516 - 56207.552 | 3d7.(4F).4p y 5F*                   | 4    | 3d6.4s.(6D).5d 5D                   | 4    | 0.416 | 0
451.4255 | 22152.050 | Ni I  | 29888.477 - 52040.523 | 3d9.(2D).4p 3D*                     | 2    | 3d8.4s.(4F).5s 3F                   | 2    | 0.213 | 1
452.1249 | 22117.780 | Ni I  | 13521.347 - 35639.122 | 3d8.(1D).4s2 1D                     | 2    | 3d8.(3F).4s.4p.(3P*) 1F*            | 3    | 0.378 | 2
