#star_name,RA,DEC,l_gal,b_gal,plx,err_plx
HD10180,1 37 53.5773,-60 30 41.485,292 48 19.298,-55 41 38.4435,25.6379,0.0253
HD102117,11 44 50.4608,-58 42 13.356,294 21 37.3737,3 03 19.1333,25.2369,0.0409
HD102438,11 47 15.8077,-30 17 11.437,286 50 24.0282,30 34 19.3119,56.3677,0.0342
HD104982,12 05 13.4084,-28 43 02.026,290 49 59.542,33 03 59.2687,27.5568,0.0435
HD105837,12 10 57.9328,-46 19 19.136,295 40 54.7183,15 58 45.2894,27.9076,0.0545
HD106116,12 12 28.8425,-3 05 04.108,284 08 51.8572,58 21 33.6047,28.985,0.0618
HD108309,12 26 48.1415,-48 54 47.499,298 46 08.6423,13 45 33.5761,37.2562,0.0466
HD110619,12 43 42.7237,-37 42 29.319,301 14 38.6841,25 08 17.8181,36.0131,0.0407
HD111031,12 46 30.8422,-11 48 44.789,301 00 55.499,51 02 27.5373,32.0167,0.052
HD114853,13 13 52.2256,-45 11 08.881,307 04 24.6938,17 30 19.7214,39.9179,0.0387
HD11505,1 53 06.1989,-1 19 36.988,155 19 37.3415,-60 15 40.0945,25.634,0.106
HD115617,13 18 24.3142,-18 18 40.304,311 51 32.5752,44 05 33.4028,116.89,0.22
HD117105,13 28 30.5526,-27 23 30.643,312 57 18.5748,34 45 26.491,27.3599,0.0584
HD117207,13 29 21.1129,-35 34 15.586,311 33 08.8268,26 39 55.1088,30.8785,0.0496
HD117618,13 32 25.5555,-47 16 16.913,310 06 41.2959,15 01 41.5058,26.4417,0.0641
HD12387,2 00 32.1253,-40 43 52.492,261 01 50.4371,-70 18 35.3992,28.3587,0.0305
HD124292,14 12 45.2385,-3 19 12.299,338 52 21.5445,53 46 44.7969,45.7941,0.0657
HD125881,14 24 45.9776,-63 42 23.637,313 02 51.049,-2 40 58.5054,27.5322,0.0407
HD126525,14 27 32.9718,-51 55 59.107,317 37 29.4146,8 10 32.139,26.5312,0.0465
