#Name,RAJ2000,DEJ2000,logTe,[Fe/H],VMag_abs,Vmag_app,b-y,HDstring,log(g)
HD 361,00 08 16.3,-14 49 28,3.765,-0.25,4.85,7.045,0.388,HD361,4.46
HD 1388,00 17 58.8,-13 27 20,3.77,-0.12,4.34,6.512,0.381,HD1388,4.31
HD 1461,00 18 41.8,-08 03 10,3.755,0.11,4.63,6.463,0.422,HD1461,4.39
HD 1581,00 20 04.2,-64 52 29,3.773,-0.26,4.56,4.228,0.368,HD1581,4.43
HD 1835,00 22 51.7,-12 12 33,3.755,-0.02,4.8,6.395,0.417,HD1835,4.46
HD 2071,00 24 42.5,-53 59 02,3.749,-0.28,5.1,7.271,0.419,HD2071,4.47
HD 4391,00 45 45.5,-47 33 07,3.759,-0.25,4.89,5.795,0.399,HD4391,4.47
HD 4915,00 51 10.8,-05 02 21,3.75,-0.29,5.32,6.983,0.416,HD4915,4.5
HD 6735,01 07 32.0,-41 44 48,3.778,-0.22,4.48,7.017,0.359,HD6735,4.41
HD 7134,01 11 32.0,-12 50 35,3.775,-0.29,4.44,7.491,0.364,HD7134,4.33
HD 7449,01 14 29.3,-05 02 50,3.774,-0.27,4.56,7.51,0.367,HD7449,4.44
HD 7570,01 15 11.1,-45 31 54,3.78,-0.01,4.06,4.96,0.363,HD7570,4.31
HD 9782,01 35 26.3,-13 22 51,3.777,0.01,4.27,7.183,0.37,HD9782,4.34
HD 10180,01 37 53.5,-60 30 41,3.764,-0.08,4.37,7.33,0.396,HD10180,4.34
HD 10647,01 42 29.3,-53 44 26,3.784,-0.13,4.31,5.52,0.347,HD10647,4.4
HD 11505,01 53 06.1,-01 19 36,3.758,-0.25,4.6,7.424,0.402,HD11505,4.33
HD 12387,02 00 32.1,-40 43 52,3.755,-0.26,4.65,7.378,0.408,HD12387,4.31
HD 17051,02 42 33.4,-50 48 01,3.782,0,4.22,5.394,0.357,HD17051,4.37
HD 19467,03 07 18.5,-13 45 42,3.756,-0.15,4.53,6.974,0.41,HD19467,4.27
HD 20407,03 15 06.3,-45 39 53,3.769,-0.46,4.84,6.763,0.373,HD20407,4.44
HD 20619,03 19 01.8,-02 50 35,3.756,-0.28,5.04,7.052,0.406,HD20619,4.49
HD 20766,03 17 46.1,-62 34 31,3.756,-0.31,5.11,5.509,0.404,HD20766,4.47
HD 20782,03 20 03.5,-28 51 14,3.757,-0.18,4.61,7.366,0.406,HD20782,4.39
HD 20807,03 18 12.8,-62 30 22,3.766,-0.33,4.83,5.232,0.383,HD20807,4.46
HD 23456,03 43 04.7,-50 38 35,3.785,-0.38,4.12,6.974,0.337,HD23456,4.33
HD 26913,04 15 25.7,+06 11 58,3.747,-0.17,5.31,6.93,0.427,HD26913,4.52
HD 28471,04 25 09.1,-64 04 48,3.756,-0.2,4.75,7.894,0.407,HD28471,4.42
HD 28821,04 32 21.4,-05 02 20,3.748,-0.27,4.81,7.619,0.422,HD28821,4.38
HD 30495,04 47 36.2,-16 56 04,3.762,-0.08,4.87,5.49,0.399,HD30495,4.47
HD 31527,04 55 38.3,-23 14 30,3.769,-0.22,4.56,7.493,0.379,HD31527,4.36
HD 32724,05 04 47.5,-11 41 56,3.761,-0.26,4.11,7.204,0.395,HD32724,4.12
HD 37962,05 40 51.9,-31 21 04,3.755,-0.32,4.97,7.846,0.405,HD37962,4.47
