Wavl[A],Elm,Ion,Elow[eV],BrCalDep,CalBlending[%]
4241.11,Fe,1,2.832,0.5159,2.637
4281.37,Ti,1,0.813,0.3261,3.221
4291.46,Fe,1,0.052,0.8399,3.221
4365.9,Fe,1,2.99,0.56,1.738
4367.9,Fe,1,1.608,0.7571,1.389
4387.89,Fe,1,3.071,0.7259,1.53
4389.24,Fe,1,0.052,0.7446,2.066
4423.84,Fe,1,3.654,0.5571,1.481
4438.34,Fe,1,3.686,0.554,1.236
4439.63,Fe,1,3.047,0.2819,0.874
4439.88,Fe,1,2.279,0.5391,0.723
4442.34,Fe,1,2.198,0.856,7.418
4442.83,Fe,1,2.176,0.6419,1.602
4449.14,Ti,1,1.887,0.6168,4.284
4451.58,Mn,1,2.888,0.7709,4.284
4453,Mn,1,2.941,0.5768,1.669
4457.03,Mn,1,3.073,0.5169,4.95
4461.65,Fe,1,0.087,0.9167,4.95
4466.55,Fe,1,2.832,0.883,3.805
4468.49,Ti,2,1.131,0.8714,3.805
4470.47,Ni,1,3.399,0.7116,1.507
4470.85,Ti,2,1.165,0.6415,2.273
4481.61,Fe,1,3.686,0.5689,2.754
4484.22,Fe,1,3.603,0.7819,1.787
4485.97,Fe,1,3.654,0.2485,5.829
4489.74,Fe,1,0.121,0.8343,1.031
4490.08,Fe,1,3.017,0.7447,5.778
4491.4,Fe,2,2.856,0.6842,0.302
4493.52,Ti,2,1.08,0.3724,2.156
4495.95,Fe,1,3.654,0.5167,1.156
4498.89,Mn,1,2.941,0.6219,2.017
4502.21,Mn,1,2.92,0.6231,1.222
4502.59,Fe,1,3.573,0.2762,1.525
4508.28,Fe,2,2.856,0.7662,0.099
4508.69,Fe,1,4.283,0.1435,0.099
4509.73,Fe,1,4.22,0.4593,0.099
4511.89,Cr,1,3.087,0.445,7.459
4512.73,Ti,1,0.836,0.6622,0.341
4512.99,Ni,1,3.706,0.2058,2.442
4514.18,Fe,1,3.047,0.6052,2.442
4517.09,Co,1,3.128,0.1396,2.243
4518.02,Ti,1,0.826,0.7017,1.833
4519.98,Ni,1,1.676,0.4465,1.063
4523.4,Fe,1,3.654,0.3968,1.577
4525.86,Fe,1,2.882,0.206,4.849
4535.14,Cr,1,2.544,0.3823,5.493
4537.67,Fe,1,3.267,0.2002,8.706
4541.06,Cr,1,2.545,0.3157,2.914
4541.52,Fe,2,2.856,0.6663,2.368
4548.76,Ti,1,0.826,0.695,0.687
4555.48,Ti,1,0.848,0.6599,1.179
4556.92,Fe,1,3.252,0.2694,8.444
4562.36,Ce,2,0.478,0.3063,7.071
4568.31,Ti,2,1.224,0.2085,3.37
4571.97,Ti,2,1.572,0.858,1.582
4574.22,Fe,1,3.211,0.4116,0.386
4574.72,Fe,1,2.279,0.55,0.9
4575.11,Cr,1,3.369,0.11,2.33
4579.82,Fe,1,3.071,0.2861,5.371
4583.41,Ti,2,1.165,0.3072,2.322
4587.13,Fe,1,3.573,0.5257,1.939
4588.2,Cr,2,4.071,0.6497,0.096
4589.96,Ti,2,1.237,0.7137,0.096
4590.79,Fe,1,4.387,0.1986,0.096
4592.05,Cr,2,4.074,0.4947,6.94
4598.12,Fe,1,3.283,0.6701,0.329
4598.74,Fe,1,3.654,0.1481,0.329
4600.36,Ni,1,3.597,0.5809,2.633
4600.75,Cr,1,1.004,0.7669,0.713
4602,Fe,1,1.608,0.6973,0.618
4602.94,Fe,1,1.485,0.8603,0.105
4603.34,Fe,1,2.845,0.2826,3.302
4604.56,Fe,1,4.473,0.4514,3.302
4605.59,Fe,1,4.32,0.4732,3.302
4607.33,Sr,1,0,0.5782,1.866
4614.21,Fe,1,3.301,0.3159,4.854
4616.12,Cr,1,0.983,0.7734,0.629
4619.29,Fe,1,3.603,0.7052,0.629
4619.53,Cr,1,2.987,0.3803,4.724
4623.58,Fe,1,4.415,0.1573,4.724
4625.04,Fe,1,3.241,0.7307,1.392
4626.17,Cr,1,0.968,0.7586,0.373
4630.12,Fe,1,2.279,0.663,0.709
4635.85,Fe,1,2.845,0.5626,0.768
4637.5,Fe,1,3.283,0.7265,0.81
4639.94,Ti,1,1.734,0.4205,3.873
4643.46,Fe,1,3.654,0.6772,0.256
4645.19,Ti,1,1.734,0.2581,3.355
4646.16,Cr,1,1.03,0.833,3.355
4648.65,Ni,1,3.42,0.7377,0.46
4651.28,Cr,1,0.983,0.7299,0.979
4656.47,Ti,1,0,0.6671,4.996
4656.98,Fe,2,2.891,0.3859,0.893
4657.2,Ti,2,1.243,0.5093,0.666
4657.58,Fe,1,2.845,0.3892,2.566
4660.43,Fe,1,4.435,0.2062,2.566
4660.89,Fe,1,4.473,0.1814,2.566
4661.53,Fe,1,4.559,0.3681,1.27
4661.97,Fe,1,2.99,0.4545,3.104
4667.76,Ni,1,3.706,0.459,3.104
4669.17,Fe,1,3.654,0.645,0.956
4670.17,Fe,2,2.583,0.331,5.837
4671.67,Mn,1,2.888,0.1399,5.004
4672.83,Fe,1,1.608,0.2921,4.58
4678.85,Fe,1,3.603,0.7633,1.226
4681.47,Fe,1,4.607,0.2712,1.226
4681.91,Ti,1,0.048,0.6991,0.914
4683.56,Fe,1,2.832,0.5784,0.97
4685.27,Ca,1,2.933,0.5128,3.398
4690.14,Fe,1,3.686,0.5256,2.379
4693.94,Cr,1,2.983,0.2848,4.023
4700.61,Cr,1,2.71,0.2094,3.086
4701.35,Ni,1,3.48,0.3962,2.946
4701.53,Ni,1,4.088,0.492,2.32
4704.95,Fe,1,3.686,0.6269,2.481
4708.01,Cr,1,3.168,0.5631,2.425
4708.66,Ti,2,1.237,0.4898,1.624
4709.71,Mn,1,2.888,0.5902,1.537
4718.42,Cr,1,3.195,0.6035,2.904
4722.15,Zn,1,4.03,0.6331,2.421
4726.14,Fe,1,2.998,0.2734,1.125
4728.55,Fe,1,3.654,0.6666,0.919
4729.02,Fe,1,4.076,0.376,0.945
4730.03,Mg,1,4.346,0.4628,2.213
4730.71,Cr,1,3.079,0.4997,2.135
4731.8,Ni,1,3.833,0.4181,5.663
4732.46,Ni,1,4.105,0.4184,0.91
4733.59,Fe,1,1.485,0.7498,1.842
4737.35,Cr,1,3.087,0.5333,5.466
4739.09,Mn,1,2.941,0.5282,0.999
4742.79,Ti,1,2.236,0.3535,0.696
4749.95,Fe,1,4.559,0.345,4.213
4752.42,Ni,1,3.658,0.5295,1.338
4754.76,Ni,1,3.635,0.4505,6.131
4756.11,Cr,1,3.104,0.58,1.316
4757.58,Fe,1,3.274,0.5397,4.682
4758.12,Ti,1,2.249,0.4786,0.217
4759.27,Ti,1,2.256,0.5078,0.234
4764.29,Cr,1,3.551,0.2991,1.303
4764.52,Ti,2,1.237,0.3351,1.303
4776.07,Fe,1,3.301,0.2804,2.393
4779.44,Fe,1,3.415,0.4721,1.603
4779.98,Ti,2,2.048,0.6118,5.478
4785.96,Fe,1,4.143,0.257,1.239
4786.28,Ni,1,1.676,0.34,3.159
4786.53,Ni,1,3.42,0.7337,3.159
4786.81,Fe,1,3.017,0.7009,3.159
4787.83,Fe,1,2.998,0.3991,2.597
4788.76,Fe,1,3.237,0.6203,2.231
4790.33,Cr,1,2.545,0.1866,7.142
4794.35,Fe,1,2.424,0.1183,4.452
4798.26,Fe,1,4.186,0.5084,1.079
4798.53,Ti,2,1.08,0.42,1.615
4798.73,Fe,1,1.608,0.3285,2.536
4799.41,Fe,1,3.64,0.3578,7.072
4800.65,Fe,1,4.143,0.5734,4.835
4801.02,Cr,1,3.122,0.4986,1.064
4804.52,Fe,1,3.573,0.1845,6.636
4808.15,Fe,1,3.252,0.2597,1.504
