Wavl[A],Elm,Ion,Elow[eV],UnBrCalDep
4200.02,Ti,1,1.879,0.028
4200.02,Nd,2,0.064,0.046
4200.09,Fe,1,3.884,0.823
4200.1,Cr,1,3.079,0.279
4200.17,Cr,1,3.845,0.22
4200.18,V,1,0.275,0.043
4200.41,Ti,2,2.061,0.039
4200.45,Ni,1,3.306,0.681
4200.74,Ti,1,2.25,0.297
4200.78,Fe,1,1.608,0.689
4200.92,Fe,1,3.3966,0.883
4201.07,Ca,1,2.933,0.569
4201.24,Ce,2,0.904,0.088
4201.32,Ce,2,1.042,0.05
4201.37,Dy,2,0.59,0.029
4201.45,Zr,1,0.623,0.063
4201.71,Ni,1,3.841,0.203
4201.71,Fe,1,3.573,0.097
4201.71,Ni,1,4.088,0.748
4201.77,Mn,1,4.258,0.29
4202.03,Fe,1,1.4848,0.975
4202.14,Ni,1,3.941,0.262
4202.24,Fe,1,4.256,0.274
4202.34,Fe,1,2.588,0.143
4202.36,V,2,1.704,0.509
4202.4,Fe,1,3.96,0.27
4202.48,Fe,1,4.435,0.141
4202.75,Fe,1,3.047,0.791
4202.76,Fe,1,3.017,0.041
4202.91,Sm,2,0.485,0.043
4202.93,Ce,2,0.559,0.076
4202.96,Ce,2,0.446,0.183
4203.05,Sm,2,0.434,0.133
4203.12,Ca,1,2.933,0.595
4203.24,Cr,1,2.545,0.05
4203.3,Fe,1,3.018,0.023
4203.3,Fe,1,4.154,0.03
4203.46,Ti,1,2.25,0.304
4203.5,Ce,2,0,0.022
4203.57,Fe,1,1.011,0.845
4203.59,Cr,1,2.544,0.566
4203.68,Fe,1,4.584,0.777
4203.76,Ni,1,3.841,0.062
4203.94,Fe,1,3.634,0.861
4203.97,Fe,1,3.274,0.441
4203.98,Fe,1,2.845,0.916
4204.04,La,2,0.709,0.082
4204.2,Fe,1,4.415,0.303
4204.2,Cr,1,2.544,0.034
4204.21,V,2,1.704,0.111
4204.46,Cr,1,3.98,0.391
4204.7,Y,2,0,0.617
4204.86,Gd,2,0.522,0.08
4205.02,Fe,1,4.22,0.217
4205.04,V,2,1.686,0.315
4205.04,Eu,2,0,0.754
4205.08,V,2,2.036,0.457
4205.1,Fe,1,2.559,0.034
4205.13,Fe,1,4.218,0.141
4205.24,Nd,2,0.559,0.088
4205.25,Nd,2,0.68,0.049
4205.38,Mn,2,1.809,0.576
4205.47,Fe,2,2.642,0.042
4205.54,Fe,1,3.417,0.858
4205.58,Nd,2,0.631,0.143
4205.79,Ce,2,0.875,0.032
4205.91,Ti,2,1.116,0.113
4206.02,Ru,1,1.002,0.023
4206.12,Sm,2,0.378,0.102
4206.14,Co,1,2.718,0.031
4206.14,Co,1,3.514,0.031
4206.3,Fe,1,4.387,0.516
4206.37,Mn,2,5.397,0.056
4206.54,Dy,2,0,0.096
4206.57,Hf,2,2.496,0.022
4206.62,Sm,2,0.544,0.051
4206.63,Fe,1,4.435,0.717
4206.7,Fe,1,0.052,0.939
4206.72,Pr,2,0.55,0.22
4206.9,Cr,1,4.618,0.235
4207.03,Ce,2,0.704,0.021
4207.13,Fe,1,2.8316,0.895
4207.23,Mn,2,1.833,0.108
4207.36,Cr,2,3.827,0.149
4207.44,Fe,1,4.593,0.64
4207.6,Co,1,2.7,0.039
4208.31,Pr,2,0.216,0.084
4208.35,Cr,1,3.85,0.125
4208.56,Fe,1,4.387,0.036
4208.59,Fe,1,3.397,0.877
4208.59,Co,2,2.681,0.024
4208.6,Fe,1,3.397,0.851
4208.89,Th,2,0.831,0.028
4208.98,Zr,2,0.713,0.806
4209.18,Cr,1,3.85,0.044
4209.36,Cr,1,3.85,0.336
4209.41,Ce,2,0.684,0.026
4209.6,Fe,1,4.103,0.025
4209.76,V,2,1.675,0.541
4209.83,Fe,1,4.32,0.71
4209.85,V,1,0.301,0.711
4209.91,Fe,1,4.103,0.078
4209.99,Ce,2,0.655,0.038
4210.08,Co,1,3.713,0.044
4210.13,Ni,1,4.105,0.024
4210.25,Cr,1,3.85,0.609
4210.25,Fe,1,4.387,0.04
4210.34,Sm,2,0.104,0.104
4210.34,Fe,1,2.482,0.938
4210.38,Fe,1,3.071,0.888
4210.61,Zr,2,1.665,0.091
4210.76,Cr,1,3,0.053
4210.78,Ni,1,3.847,0.091
4210.89,Fe,1,4.473,0.202
4211.13,Rh,1,0.706,0.032
4211.29,Nd,2,0.205,0.178
4211.31,Cr,1,3.013,0.552
4211.37,Cr,1,3.087,0.233
4211.52,Fe,1,4.313,0.092
4211.53,Cr,1,2.983,0.117
4211.65,Fe,1,4.218,0.121
4211.72,Dy,1,0,0.039
4211.72,Ti,1,2.487,0.194
4211.74,Mn,1,4.268,0.234
4211.8,Fe,2,2.642,0.067
4211.82,Ce,2,1.042,0.021
4211.83,Fe,1,4.283,0.137
4211.85,Os,1,2.909,0.04
4211.86,Pr,2,0.55,0.049
4211.88,Zr,2,0.527,0.819
4212.01,Gd,2,0.425,0.153
4212.06,Ru,1,0.811,0.096
4212.07,Fe,1,3.417,0.361
4212.1,Fe,1,4.446,0.03
4212.53,Cr,1,3.011,0.029
4212.75,Nd,2,0.182,0.043
4212.83,Ni,1,3.847,0.082
4212.95,Pd,1,1.453,0.197
4213,Na,1,2.102,0.071
4213.03,Ce,2,0.674,0.021
4213.05,Nd,2,1.337,0.022
4213.18,Cr,1,3.079,0.493
4213.2,Nd,2,1.499,0.021
4213.31,Fe,1,4.284,0.058
4213.35,Cr,1,3.375,0.032
4213.42,Fe,1,2.728,0.179
4213.42,Cr,1,4.616,0.028
4213.43,Fe,1,4.191,0.081
4213.65,Fe,1,2.845,0.901
4213.87,Zr,1,0.604,0.555
4214.03,Ce,2,0.609,0.127
4214.21,Nd,2,1.411,0.023
